Gene,t-statistic,p-value,adjusted_p-value
200625_s_at,-0.9735104194205516,0.3332697020328982,0.6097584999096043
200626_s_at,-2.7825609284622175,0.006779131289271914,0.07022751395576292
200627_at,-1.6410659088953676,0.10458497094416708,0.3421622239830972
200628_s_at,1.490411219765702,0.13986224556381352,0.40017596390890847
200629_at,1.8416589348228611,0.06905673502881995,0.2746370206402276
200630_x_at,-1.754859985709172,0.08333743536585049,0.30407861016165816
200631_s_at,-2.046912536160517,0.04415630605414664,0.21624843522124404
200632_s_at,2.912741636161939,0.004588581533672633,0.055433135547484975
200633_at,0.6857195014875055,0.49487193585316025,0.7348313910468387
200634_at,-0.09198750282757537,0.9269348146073245,0.9696220295697592
200635_s_at,-1.0331533541976532,0.3047227979841018,0.584399527281155
200636_s_at,0.7380169414073158,0.4626208303481064,0.712459738934747
200637_s_at,1.6098554170694304,0.11134854462648515,0.3542012305370405
200638_s_at,-0.4416327333336213,0.6599018376748449,0.8372047348559692
200639_s_at,-1.4780726603313001,0.14320048859139398,0.4057115975630735
200640_at,-0.7309070519456552,0.4668867891401375,0.7159123535927391
200641_s_at,0.5824767936373497,0.5618156572310606,0.7798989714726965
200642_at,0.6443238509805189,0.5211688101878731,0.7532238031791656
200643_at,2.486630223975203,0.014875865910590922,0.11606404764905376
200644_at,-3.5148140969449173,0.0007159158828147827,0.01493703522168708
200645_at,1.1368856076187541,0.258820744811171,0.5419887845716872
200646_s_at,1.9461629782653693,0.05518240487145965,0.24428189900677477
200647_x_at,-1.3977112110605987,0.16592634594054537,0.4346228713522008
200648_s_at,2.0384917497816666,0.044806401033772904,0.2178662404926909
200649_at,3.2350023024264902,0.0017767050958091754,0.028772034629299312
200650_s_at,0.872614976914415,0.3853744249134916,0.6517378802631553
200651_at,-0.21357357466463245,0.8314029926297237,0.9257984550881082
200652_at,-1.808963574054456,0.0740612311532271,0.2859982205039509
200653_s_at,3.3925890282341262,0.001059299989471945,0.019703156648917655
200654_at,-2.447968310064656,0.016456861074914043,0.1236931365606421
200655_s_at,1.9359480252210972,0.05648100416016203,0.24740833805796944
200656_s_at,-1.745446249422905,0.08460579735515017,0.3062493473789492
200657_at,-0.9775416535842878,0.33110926950089814,0.6079842981906102
200658_s_at,-0.6135049200197961,0.5412106916025958,0.7673458901290838
200659_s_at,-0.7231809078450612,0.4715789516438995,0.7189022220346866
200660_at,-2.227108730954366,0.029015766125918246,0.17145540084429498
200661_at,1.8347186249091951,0.07009056452170823,0.2771655810536334
200662_s_at,-3.6129792319032132,0.0005196810628402492,0.011708850478533138
200663_at,2.1714195064044457,0.03272013529178941,0.18328375432552627
200664_s_at,2.989209051471318,0.003734584687524273,0.048523469733004886
200665_s_at,1.8850093783325261,0.063136605155173,0.26101539381683114
200666_s_at,2.8774739829473357,0.005091259375286768,0.0588731357859445
200667_at,0.490702297169117,0.6249683799467443,0.8176954031092304
200668_s_at,1.305287555407365,0.19545569459359596,0.4704992412770554
200669_s_at,0.8653319720112425,0.3893266461568904,0.6545469787470943
200670_at,-4.863958176773329,5.642897551348857e-06,0.0003004314568660941
200671_s_at,6.008169291536429,4.731985510100976e-08,5.4351975835866e-06
200672_x_at,2.559518854791635,0.012277717117182363,0.10250123892462146
200673_at,0.5827482519466771,0.561643782956843,0.7798061197350198
200674_s_at,1.0012285956354927,0.3195918548100732,0.5986182323934796
200675_at,3.8752266685065164,0.00021076983897482877,0.005937527587706839
200676_s_at,2.040003957732668,0.044503320629940654,0.2171134028683072
200677_at,-2.650063248789888,0.009719603360771286,0.08898707231457945
200678_x_at,0.4317524282395505,0.6670295892480433,0.8403109643382038
200679_x_at,-0.6187957422020526,0.5377452112221335,0.7648290382117062
200680_x_at,-1.06061130897949,0.29234877380737634,0.5734879925846416
200681_at,-3.094546501538728,0.002687365547076022,0.03905440529493553
200682_s_at,1.4825560459406093,0.1419510281129917,0.40355891291678925
200683_s_at,-1.2729061576631167,0.20664829232885382,0.48369158592057243
200684_s_at,2.6544246088576724,0.0096241428573804,0.08843525859068228
200685_at,0.772305136884414,0.4421032255999493,0.6972951710110185
200686_s_at,-0.044446578573676024,0.9646542489679444,0.9851706845027642
200687_s_at,-1.0625124507399122,0.29112509327698466,0.57241158153102
200688_at,-1.0377662479702336,0.30235799483972,0.5822650957294926
200689_x_at,-1.7434376061618695,0.08510225537765218,0.3069407539182689
200690_at,-0.04694668318357366,0.9626671980097311,0.9841765999839805
200691_s_at,-1.454720503525749,0.14955065625979158,0.41422891554171665
200692_s_at,-1.578195288354472,0.11858097169758822,0.36653347098590067
200693_at,-2.3669088253775774,0.02023724173404849,0.13888095397591702
200694_s_at,0.8741599421960132,0.38453817900538,0.6512359907929014
200695_at,-1.428774926759134,0.1567908127288508,0.4234359083792246
200696_s_at,5.328178985053679,8.179438124157367e-07,5.8417442218140585e-05
200697_at,-0.9614500264404613,0.33969750863224457,0.6156551106020582
200698_at,0.1480667267839842,0.8826508882128852,0.9501502290844309
200699_at,-0.6065375270871425,0.5458379429073986,0.7703053693635181
200700_s_at,-0.23488106324818867,0.8148776782970497,0.9180403107079811
