Gene,t-statistic,p-value,adjusted_p-value
203215_s_at,-6.535942233523112,7.596850545003311e-09,1.1674525565124743e-06
203216_s_at,-4.234518555585728,5.9990739773725256e-05,0.0021560865393192
203221_at,3.116396355118996,0.0025160693488826,0.0369338427543818
203223_at,3.2440916451057507,0.0017560672489984,0.0285848351971511
203228_at,-3.4835802814649743,0.0007987841446558,0.016122560774788
203229_s_at,-3.721872946901163,0.0003911998986967,0.0095792388380881
203241_at,3.042434418032894,0.0031344701926789,0.0431410743072673
203253_s_at,-3.182512417540505,0.0020479966471426,0.031735402843031
203282_at,4.097926081011882,0.0001001721300345,0.0032873867062748
203291_at,3.048631544009231,0.0032085263262192,0.0437009973883991
203296_s_at,5.5769710825339285,2.985527436231949e-07,2.5785468163393995e-05
203299_s_at,3.826930667585223,0.0002568800443867,0.006955441054306
203313_s_at,-3.4804524408151827,0.0008126589735158,0.0162992618423532
203316_s_at,-4.127908944899879,8.66833839070569e-05,0.0029444601274404
203323_at,7.397795873728132,1.013099977676434e-10,2.8575831395650608e-08
203324_s_at,6.36519678028878,1.5977973082266213e-08,2.1096442653917045e-06
203329_at,3.107179269177448,0.002581100452004,0.037813715563449
203336_s_at,5.570635147241464,3.0650983378646457e-07,2.6269071639476115e-05
203337_x_at,5.957909225912022,5.92355667931368e-08,6.6328951500073735e-06
203358_s_at,-5.949815709580085,6.572040790616837e-08,7.214028814646056e-06
203397_s_at,-5.959579761482527,6.671736987229809e-08,7.287564474825579e-06
203400_s_at,6.119027257636668,3.4640203652533615e-08,4.164924351566959e-06
203401_at,-3.4831666738194205,0.000794882128435,0.0160729205697988
203407_at,4.040952631565676,0.0001188532062007,0.0037726581107846
203414_at,7.022605438981439,6.508985968707596e-10,1.3306397645936825e-07
203429_s_at,-3.703678966535601,0.0003825927063947,0.0094202356647455
203430_at,3.253649153822361,0.0016500463330966,0.0273164802677511
203432_at,-4.259286297664297,5.323445855141118e-05,0.0019542396044499
203434_s_at,3.142638171367403,0.002315868302408,0.0347335111968411
203435_s_at,6.926381225317972,8.72433100860144e-10,1.7357523916488024e-07
203438_at,-3.0957757233286247,0.0026762056943123,0.0389255166360072
203453_at,-3.0611626176852815,0.0031125696607449,0.0429667419811799
203476_at,-5.79467627851582,1.47276797629399e-07,1.4330868478497371e-05
203477_at,3.3745634268716977,0.001126872324891,0.0205820459143831
203498_at,3.652228906300597,0.0004526303431463,0.0106491141045148
203501_at,2.9812471082860545,0.0037594966466476,0.0486972361275366
203505_at,3.599550464980492,0.000543341499139,0.0121193980233392
203508_at,3.1668087546544483,0.0021873538678935,0.0334015997370787
203516_at,5.2463874006259665,1.2809518760580262e-06,8.675820867538297e-05
203524_s_at,3.0205073828372715,0.0033845963198598,0.0454057554457783
203543_s_at,3.1512942545318463,0.0022538102715661,0.0341179716584976
203548_s_at,8.527383045118706,5.921963710752923e-13,3.9987611323244664e-10
203549_s_at,7.884937130615961,1.0303103787312466e-11,4.685389014136401e-09
203569_s_at,-3.794422055864381,0.0002804278240501,0.0074390157182247
203571_s_at,8.261550652881585,1.90486674756081e-12,1.061153643397438e-09
203574_at,3.528089084918049,0.000688822007918,0.0145376241538098
203603_s_at,3.1276470027427243,0.002427688851821,0.0359549139461442
203608_at,4.260025084306265,5.698393412000505e-05,0.0020714078368614
203612_at,3.0005123382181327,0.0035520078786202,0.0470008263416243
203642_s_at,5.5587610916595525,3.8139064370310506e-07,3.1359880862126535e-05
203669_s_at,4.715467568757593,1.2045450520656231e-05,0.0005747511219524
203675_at,-3.6093807208892774,0.0005209088217123,0.0117246578527434
203680_at,5.655350658338637,2.096145520900486e-07,1.9300996133151048e-05
203685_at,4.012378486277055,0.0001358838057742,0.0041951836048434
203693_s_at,-5.343533997910306,8.428063928230403e-07,5.980972882571913e-05
203706_s_at,-3.432966190238331,0.0009339962559586,0.0180243878338593
203721_s_at,-4.189615365476913,6.882906119367452e-05,0.0024191135182628
203740_at,-4.660227275202105,1.2088850575886666e-05,0.0005755894388514
203743_s_at,-3.969871580258235,0.0001546062825998,0.0046618292221561
203744_at,-3.2937658052435017,0.0015341148465471,0.025858306449025
203755_at,-3.271219444329573,0.0015741273738436,0.026347603654383
203769_s_at,5.017324733485913,4.0829893438442815e-06,0.0002274531288722
203780_at,-3.3752258484555364,0.0011224664754282,0.0205521121380184
203799_at,4.846949458567319,5.681091004646718e-06,0.0003006929949086
203804_s_at,-4.080297553352554,0.0001053823490766,0.0034131320995268
203810_at,3.5522638702363905,0.000630293145812,0.0135567781545647
203812_at,7.056512657643748,6.376625693136487e-10,1.327947199253835e-07
203814_s_at,5.670336663168202,2.0080860178297417e-07,1.8566879973153577e-05
203823_at,3.570473988752576,0.0005927664346202,0.0128864531342866
203826_s_at,3.159872126743972,0.002194855250125,0.0334299108260676
203835_at,3.231098869381696,0.0017633508379407,0.0286181694987856
203851_at,5.951985741201762,6.220640830217324e-08,6.896245752225502e-06
203853_s_at,7.493202145363328,9.912305627296413e-11,2.8317423883723848e-08
203860_at,3.258988487888124,0.0016570885378573,0.0273315350770356
203881_s_at,5.713850025589795,2.536067463241275e-07,2.241279014994546e-05
203886_s_at,3.549453098943006,0.0006371686956951,0.0136388377004569
203897_at,3.3609516364438283,0.0011706438572457,0.02122494472824
203914_x_at,3.104352916952112,0.0028200536080788,0.0400535145513757
203917_at,-7.072093441380842,5.016887849448808e-10,1.0646791614215985e-07
203918_at,3.933510338875381,0.0001718791664641,0.0050130673642939
203920_at,4.1238748451217395,8.767047758955938e-05,0.0029699584531174
203921_at,3.2842397459424486,0.0014938145863158,0.0254096720815855
203962_s_at,-3.469727090914492,0.000827011453481,0.0165276199263847
203980_at,7.768608266818654,5.866164577581533e-11,1.87934546762311e-08
203981_s_at,3.3929599760695197,0.0010672004097657,0.0198005218408071
203986_at,6.190252072015387,4.422365962836034e-08,5.132478164056008e-06
203992_s_at,-3.791796567561886,0.0002932149883335,0.0076776845887622
204005_s_at,-4.23084111056192,5.908663406667736e-05,0.0021339180987159
204018_x_at,5.790812318769294,1.703144318841007e-07,1.6288053586581184e-05
204023_at,-3.059474826571331,0.0029779651910662,0.0417083584868189
204026_s_at,-4.490545079524997,2.2662485650359447e-05,0.0009564169843692
204036_at,3.776336922088912,0.00031051608268,0.0080083679055093
204039_at,4.988641137203162,3.2473991029127372e-06,0.0001898835685242
204042_at,7.2265539397624705,2.1047871080220808e-10,5.3296558100063664e-08
204053_x_at,4.192085624178076,6.810277209128378e-05,0.0023973681998579
204058_at,4.6470135254644,1.2661191996459068e-05,0.0005952095807111
204059_s_at,5.1649813289814945,1.6610249202286909e-06,0.0001071651279374
204064_at,-3.442302087293991,0.0009019786705565,0.0175996416077166
204070_at,-4.123061493307148,9.455150567833732e-05,0.0031587574228341
204072_s_at,3.1440844449058463,0.0024265757014117,0.0359549139461442
204073_s_at,3.1144780577380264,0.0025237659129345,0.0370224330730218
204079_at,4.1120850887156815,9.381794148525542e-05,0.0031389567419158
204085_s_at,3.0193782955200703,0.0033721938438656,0.0453061780889643
204093_at,3.978486942960688,0.0001470737459107,0.0044710017464244
204112_s_at,3.889429417344516,0.0002139834170549,0.0059901915605984
204115_at,4.660588983100147,1.1848947138741669e-05,0.0005665881740184
204123_at,-3.300789516064237,0.0014378480820634,0.0247458780439559
204134_at,7.55625885342383,4.895138362601995e-11,1.6040936490273566e-08
204146_at,-3.738947670012279,0.000336629427802,0.0085629149996728
204148_s_at,3.068953022179944,0.0029090162260873,0.0409227326804952
204151_x_at,7.778009989827755,2.0035854172407856e-11,7.567100652945157e-09
204154_at,5.2425204681846616,1.3163235220024983e-06,8.86152176458661e-05
204159_at,7.478325376434579,1.9269894032080742e-10,4.935529295596037e-08
204162_at,-4.708245049917578,1.441125407620805e-05,0.000663483418554
204167_at,3.203534912173136,0.0019696736395859,0.0310178358380871
204170_s_at,-4.6163612607120434,1.6719112286256838e-05,0.000742281019743
204183_s_at,3.3281239345998057,0.001300204847332,0.0229940195342068
204204_at,3.3002544058348984,0.00144724305516,0.0248201651869528
204223_at,7.675353677952928,2.7812890625303077e-11,1.0159912160715222e-08
204224_s_at,-3.4767785426850875,0.0008150061573789,0.016316965143643
204236_at,3.3813426596021605,0.0011041522499926,0.0203001853024633
204271_s_at,5.914480057973276,8.596546665557364e-08,9.078523665811128e-06
204273_at,4.217995038627313,7.819630982600115e-05,0.0027056651736844
204276_at,5.139330288421444,1.7816293115533488e-06,0.0001121470224557
204285_s_at,-3.456218548812071,0.0008972509953924,0.0175535065235553
204290_s_at,3.949847247897469,0.0001620818833723,0.0048155608095821
204299_at,-3.520250474390034,0.0006993201609198,0.0146732120016728
204303_s_at,3.2256040241378763,0.0017920535166616,0.0289364699360656
204304_s_at,-3.297088972917622,0.0015019866232089,0.0254571640904502
204318_s_at,-3.0271764721676564,0.0033751404939945,0.0453061780889643
204320_at,-3.909244091877525,0.000212675688826,0.0059610721686929
204326_x_at,6.284378890728257,2.2784525907859736e-08,2.901186233170506e-06
204351_at,-4.479348529194434,3.278506178656479e-05,0.0013045527353393
204362_at,3.7983559440714583,0.0002755375110357,0.0073425930978021
204363_at,5.561017240231725,3.4018857773343297e-07,2.8932908693259873e-05
204388_s_at,9.017826690065196,5.99648610277432e-14,8.907979988541344e-11
204389_at,5.425176240482184,6.002669109881643e-07,4.644356797760162e-05
204396_s_at,3.272455723140704,0.0015768375294094,0.026347603654383
204415_at,-4.166193690085561,0.0001007577655882,0.0032968946998564
204419_x_at,6.260917931833037,1.7807576082455114e-08,2.3205041979260077e-06
204421_s_at,5.084785577582022,2.4130338708645956e-06,0.0001473140650533
204422_s_at,4.742181782284953,8.60615562229154e-06,0.0004290178204284
204424_s_at,4.5712502006541635,1.7107497847007984e-05,0.000756361854216
204438_at,3.845816827728002,0.0002335664466589,0.0064492702985139
204445_s_at,3.0377997211994683,0.0032066814196904,0.0437009973883991
204451_at,-4.112424566192803,9.515219877932944e-05,0.0031693220409563
204455_at,-3.5217721615129505,0.00069800150358,0.0146593473178838
204457_s_at,3.228921789877852,0.001780818061856,0.0287967843776033
204461_x_at,-3.1572566857944353,0.0022134121191305,0.0336621623172379
204476_s_at,4.3779517289273215,3.5725083635172614e-05,0.0014015176736664
204482_at,4.761001126093124,7.9636758467642e-06,0.000404224576067
204485_s_at,-3.194464963321543,0.0019766021077143,0.0310610893978832
204508_s_at,-3.1492547383165417,0.0027320354745353,0.0393822028736792
204510_at,-3.1941390121028506,0.001999142403934,0.0312577163990671
204537_s_at,5.864945078290958,1.0073952001959161e-07,1.0440831277193302e-05
204556_s_at,3.228944819699533,0.0018538488732304,0.0296698867716313
204570_at,7.944094005707031,8.250600004806068e-12,3.830169164731117e-09
204589_at,4.755280960800557,9.34584683572262e-06,0.0004638162695777
204610_s_at,3.3373591195918957,0.0012747193999573,0.0226873581383791
204623_at,-3.7942840045422415,0.0002823523107609,0.0074811611660949
204641_at,-3.173322369302145,0.0022470497609082,0.0340387558275453
204642_at,5.2050143309195995,1.7047720871524503e-06,0.0001088465226877
204652_s_at,3.491316657788301,0.0007699406906065,0.0156681172682978
204653_at,-6.362150200769864,1.1285244015556891e-08,1.6119813615298348e-06
204663_at,3.9496055102361303,0.0001690906961917,0.0049690971224569
204667_at,-3.357867545784182,0.001209937674964,0.021777900816821
204677_at,5.122283742758157,2.022841294279624e-06,0.0001266150914618
204688_at,3.2071661837290986,0.0019076719596156,0.0302552699474138
204690_at,3.0351723864087643,0.0032513408320874,0.0441227940081633
204719_at,7.504119256386181,2.2197216598242138e-10,5.5480742103026036e-08
204731_at,6.419571109983423,2.4191769043194672e-08,3.04556604287857e-06
204734_at,-3.882107052039592,0.000228033284858,0.0063121312875677
204735_at,4.480726081596449,2.632497639654322e-05,0.0010842873364956
204738_s_at,3.2334043540024355,0.0017575219703291,0.0285848351971511
204753_s_at,3.0650879207338253,0.0029262268310998,0.0411075878651751
204754_at,4.138480879048756,8.510134205570253e-05,0.0029103835195006
204755_x_at,3.704039732513506,0.0004036123215637,0.0097897411225381
204759_at,3.6044752306301073,0.0005580213300938,0.0123517361685401
204767_s_at,-3.6402151007139376,0.0004885267204959,0.0112457034223253
204773_at,4.480447783042857,2.5409499657244907e-05,0.0010504636008578
204782_at,4.009899164228938,0.0001311531752114,0.004075991915255
204790_at,3.364886369353845,0.0011641213381875,0.0211583326091628
204798_at,-4.722966259172761,9.824314296590469e-06,0.0004832565021433
204813_at,3.274578318439884,0.0015990311262853,0.0266302022324495
204825_at,-6.25946755117033,2.9707465159128842e-08,3.637205748026747e-06
204848_x_at,6.476060594201432,1.4638842801631454e-08,1.989008135053376e-06
204865_at,3.228565416185307,0.0018096966380694,0.0291146943182214
